inpo,col_name
40,data_rate
25,data_rate_mean_NE IDhour__mean_en_all_rows
16,data_rate_min_NE IDhour__mean_en_all_rows
15,data_rate_min_relation_fault_weekday__mean_target_en_all_rows_label1_x
13,access_success_rate_size_relation_fault_weekday__mean_target_en_all_rows_label1_x
12,resource_utilition_rate_diff1_mean_NE IDhour__mean_en_all_rows
11,data_rate_diff1_sum_id__mean_en_all_rows
9,data_rate_mean_NE IDdaydayofweekhour_train_mean_en_top_cols
9,TA_sum_relation_fault_weekday__mean_target_en_all_rows_label0_x
8,data_rate_min_relation_fault_weekday__mean_target_en_all_rows_label0_x
8,data_rate_mean_NE IDdayofweekhour_train_mean_en_top_cols
7,data_rate_diff1_roll_2
7,data_rate_diff1_mean_iddayofweek__mean_en_all_rows
7,access_success_rate_diff1+mcs_diff1+TA_diff1
7,resource_utilition_rate_min_NE ID__mean_en_all_rows
7,data_rate_mean_target_hour//2_day_all_rows_train0
7,resource_utilition_rate_diff1_sum_NE IDhour__mean_en_all_rows
7,data_rate_diff1_sum_NE IDhour__mean_en_all_rows
6,data_rate_mean_relation_fault_weekday__mean_target_en_all_rows_label1_x
6,data_rate_diff1_mean_NE IDhour__mean_en_all_rows
6,resource_utilition_rate_size_relation_fault_weekday__mean_target_en_all_rows_label1_x
6,data_rate_diff1_max_NE IDhour__mean_en_all_rows
6,data_rate_sum_NE IDdayofweekhour_data_rate_all_diff_binary_sum_train_mean_en_top_cols
6,data_rate_min_relation_fault_weekday__mean_target_en_all_rows_label1_y
5,data_rate_mean_relation_fault_weekday__mean_target_en_all_rows_label0_x
5,data_rate_sum_NE IDhour__mean_en_all_rows
5,resource_utilition_rate_diff2_sum_ID_1hour__mean_en_all_rows
5,mcs_sum_relation_fault_weekday__mean_target_en_all_rows_label0_x
5,mcs_diff1_sum_idfault_duration_min/10_data_rate_all_diff_binary_sum__mean_en_all_rows
5,data_rate_sum_NE IDdayofweek_data_rate_all_diff_binary_sum_train_mean_en_top_cols_x
5,resource_utilition_rate_diff1-1_sum_NE IDhour__mean_en_all_rows_label0
5,data_rate_diff1-1_sum_NE IDdayofweek__mean_en_all_rows
5,resource_utilition_rate_max_relation_fault_weekday__mean_target_en_all_rows_label1_x
5,bler_diff1-1_max_NE IDdayofweek__mean_en_all_rows_label1
5,data_rate_diff1-1_sum_NE IDhour__mean_en_all_rows_label1
5,data_rate_min_idrelation_fault__mean_en_all_rows
5,resource_utilition_rate_diff1_mean_ID_1dayofweekhour_data_rate_all_diff_binary_sum__mean_en_all_rows
4,mcs_diff1-1_mean_NE ID__mean_en_all_rows_label1
4,data_rate_diff2-1_mean_NE IDfault_duration_hour__mean_en_all_rows
4,data_rate_diff1-1_mean_NE IDdayofweek__mean_en_all_rows
4,data_rate_max_id__mean_en_all_rows
4,data_rate_diff1_roll_3_min_ID_1dayofweekhour_data_rate_all_diff_binary_sum_train_mean_en_top_cols
4,mcs_diff1-1_min_NE IDhour__mean_en_all_rows_label1
4,cqi_mean_relation_fault_weekday__mean_target_en_all_rows_label1_x
4,dayhour_q1_data_rate_diff_data_rate_diff1+1
4,mcs_mean_idhour__mean_en_all_rows
4,cqi_diff3_mean_NE IDdayofweek__mean_en_all_rows
4,access_success_rate_diff1-data_rate_diff2-TA_diff1
4,mcs_mean_id__mean_en_all_rows
4,mcs_diff3-1_mean_NE IDdayofweek__mean_en_all_rows
4,access_success_rate_mean_target_fault_duration_hour_all_rows_train0
4,data_rate_diff1_min_NE IDdayofweekhour__mean_en_all_rows
4,data_rate_mean_NE IDdayofweekhour_data_rate_all_diff_binary_sum_train_mean_en_top_cols
4,data_rate_ratio1_mean_target_hour//2_day_all_rows_train1
4,resource_utilition_rate_diff3-1_sum_idfault_duration_dayofweek__mean_en_all_rows
4,data_rate_max_NE IDdayofweekhour_data_rate_all_diff_binary_sum_train_mean_en_top_cols
4,resource_utilition_rate_diff1-1_sum_NE IDhour__mean_en_all_rows_label1
4,mcs_diff2_sum_NE IDdayofweek_data_rate_all_diff_binary_sum__mean_en_all_rows_x
4,data_rate_min_NE IDdayofweekhour_data_rate_all_diff_binary_sum_train_mean_en_top_cols
3,cqi_diff1-1_sum_ID_1dayofweekhour__mean_en_all_rows_label1
3,access_success_rate_diff1-1_mean_NE IDdayofweek__mean_en_all_rows_label0
3,access_success_rate_diff1-1_mean_NE ID__mean_en_all_rows_label0
3,cqi_diff3_sum_NE IDdayofweek__mean_en_all_rows
3,mcs_max_id__mean_en_all_rows
3,cqi_sum_relation_fault_weekday__mean_target_en_all_rows_label0_x
3,TA_diff3-1_sum_id__mean_en_all_rows
3,access_success_rate_diff1-1_max_NE IDdayofweek__mean_en_all_rows_label0
3,data_rate_mean_relation_fault_weekday__mean_target_en_all_rows_label0_y
3,data_rate_diff1_roll_6_mean_NE IDfault_duration_min/10_data_rate_all_diff_binary_sum_train_mean_en_top_cols
3,data_rate_ratio1_max_ID_1dayofweek_data_rate_all_diff_binary_sum_train_mean_en_top_cols_x
3,data_rate_sum_relation_fault_weekday__mean_target_en_all_rows_label0_x
3,bler_diff2_roll_8
3,access_success_rate_diff1+resource_utilition_rate_diff1+data_rate_diff2
3,access_success_rate_diff1-resource_utilition_rate_diff1-mcs_diff2
3,data_rate_sum_NE IDdayofweek_data_rate_all_diff_binary_sum_train_mean_en_top_cols_y
3,cqi_diff1_sum_id__mean_en_all_rows
3,bler_diff2-1_min_NE IDdayofweekhour__mean_en_all_rows
3,access_success_rate_diff1+TA_diff1+mcs_diff1
3,access_success_rate_diff1+bler_diff2+data_rate_diff1
3,resource_utilition_rate_min_NE IDhour__mean_en_all_rows
3,data_rate_diff1_roll_3_sum_NE IDdayofweekhour_data_rate_all_diff_binary_sum_train_mean_en_top_cols
3,access_success_rate_diff1-bler_diff1
3,cqi_max_NE IDhour__mean_en_all_rows
3,mcs_diff1-1_min_NE IDdayofweek_data_rate_all_diff_binary_sum__mean_en_all_rows_label1_x
3,cqi_max_dayofweekhour_data_rate_all_diff_binary_sum__mean_target_en_all_rows
3,bler_diff3-1_mean_ID_1dayofweek__mean_en_all_rows
3,access_success_rate_diff1_mean_NE IDhour__mean_en_all_rows
3,bler_diff1-1_sum_NE IDhour__mean_en_all_rows_label0
3,access_success_rate_diff1-1_max_ID_1fault_duration_dayofweekhour__mean_en_all_rows
3,access_success_rate_diff1-cqi_diff2-data_rate_diff1
3,data_rate_sum_NE IDrelation_hour_train_mean_en_top_cols
3,dayhour_q1_data_rate_diff_cqi_diff1+1
3,mcs_diff2_mean_idrelation_hour__mean_en_all_rows
3,access_success_rate_diff1-TA_diff1-data_rate_diff1
3,data_rate_mean_dayofweekhour_data_rate_all_diff_binary_sum__mean_target_en_all_rows
3,access_success_rate_diff1/bler_diff1/data_rate_diff1
3,bler_diff2_roll_5
3,TA_diff1_max_NE IDdayofweekhour_data_rate_all_diff_binary_sum__mean_en_all_rows
3,bler_sum_relation_fault_weekday__mean_target_en_all_rows_label0_x
3,access_success_rate_diff1/data_rate_diff1/cqi_diff2
3,resource_utilition_rate_diff1_mean_ID_1hour__mean_en_all_rows
3,bler_diff2-1_sum_id__mean_en_all_rows
3,cqi_diff2_sum_ID_1fault_duration_hour__mean_en_all_rows
3,resource_utilition_rate_min_NE IDfault_duration_dayofweek__mean_en_all_rows
3,mcs_min_NE ID__mean_en_all_rows
3,mcs_min_NE IDdayofweek_data_rate_all_diff_binary_sum__mean_en_all_rows_x
3,data_rate_min_NE IDdayofweekhour__mean_en_all_rows
3,data_rate_max_iddayofweek__mean_en_all_rows
3,mcs_diff2_max_iddayofweek__mean_en_all_rows
3,data_rate_mean_NE IDrelation_dayofweekhour_train_mean_en_top_cols_x
3,dayhour_q2_data_rate_diff_data_rate_diff1+1
3,bler_diff1-1_min_NE IDhour__mean_en_all_rows
3,data_rate_max_NE IDrelation_dayofweekhour_train_mean_en_top_cols_x
3,data_rate_min_ID_1daydayofweekhour_train_mean_en_top_cols
3,mcs_diff2-1_sum_idfault_duration_dayofweek__mean_en_all_rows
3,resource_utilition_rate_mean_relation_fault_weekday__mean_target_en_all_rows_label1_x
3,resource_utilition_rate_diff2_max_NE IDdayofweek_data_rate_all_diff_binary_sum__mean_en_all_rows_x
3,access_success_rate_diff1_max_ID_1dayofweek_data_rate_all_diff_binary_sum__mean_en_all_rows_x
3,mcs_diff1-1_sum_NE ID__mean_en_all_rows_label1
3,TA_diff1-1_sum_ID_1relation_hour__mean_en_all_rows_label1
3,cqi_diff1-1_mean_id__mean_en_all_rows
3,cqi_diff2_mean_NE IDdayofweek_data_rate_all_diff_binary_sum__mean_en_all_rows_x
3,data_rate_sum_NE IDrelation_fault_hour_train_mean_en_top_cols
3,data_rate_mean_NE ID__mean_en_all_rows
3,data_rate_min_NE IDrelation_fault_hour_train_mean_en_top_cols
3,hour//2_day_mean_target_hour//2_day_all_rows_train1
3,bler_diff1-1_sum_NE IDdayofweek__mean_en_all_rows_label1
3,access_success_rate_diff1*resource_utilition_rate_diff1*bler_diff2
3,data_rate_mean_fault_duration_dayofweekhour__mean_target_en_all_rows_label0
3,cqi_diff1_sum_NE IDdayofweek_data_rate_all_diff_binary_sum__mean_en_all_rows_x
3,TA_diff3-1_max_NE IDhour__mean_en_all_rows
3,access_success_rate_diff1*resource_utilition_rate_diff1*cqi_diff1
3,cqi_diff1_mean_NE IDdayofweek__mean_en_all_rows
3,data_rate_diff2_roll_3_mean_ID_1relation_fault_train_mean_en_top_cols
3,access_success_rate_diff1/resource_utilition_rate_diff1/access_success_rate_diff2
3,data_rate_diff2_roll_4_sum_NE IDhour_train_mean_en_top_cols
3,data_rate_diff1_roll_6_sum_NE IDfault_duration_dayofweek_train_mean_en_top_cols
2,resource_utilition_rate_diff1-1_mean_NE IDfault_duration_dayofweek__mean_en_all_rows
2,resource_utilition_rate_diff3_mean_NE IDfault_duration_hour__mean_en_all_rows
2,mcs_diff1_max_iddayofweekhour__mean_en_all_rows
2,access_success_rate_diff3_sum_ID_1dayofweek__mean_en_all_rows
2,access_success_rate_diff1+cqi_diff1+access_success_rate_diff2
2,access_success_rate_diff1+mcs_diff1+resource_utilition_rate_diff2
2,resource_utilition_rate_diff1_max_NE IDdayofweekhour__mean_en_all_rows
2,mcs_diff1_mean_ID_1dayofweek__mean_en_all_rows
2,data_rate_diff1_roll_7_mean_NE IDdayofweekhour_data_rate_all_diff_binary_sum_train_mean_en_top_cols
2,resource_utilition_rate_diff1-1_max_ID_1dayofweek__mean_en_all_rows_label1
2,TA_diff2_sum_idfault_duration_min/10_data_rate_all_diff_binary_sum__mean_en_all_rows
2,cqi_diff3-1_sum_idrelation_fault_data_rate_all_diff_binary_sum__mean_en_all_rows
2,data_rate_diff2-1_mean_idfault_duration_hour__mean_en_all_rows
2,resource_utilition_rate_diff1_mean_NE IDdayofweekhour__mean_en_all_rows
2,data_rate_diff1_roll_2_min_NE IDrelation_fault_data_rate_all_diff_binary_sum_train_mean_en_top_cols
2,access_success_rate_diff1-mcs_diff1-bler_diff1
2,resource_utilition_rate_diff2_mean_ID_1relation_hour__mean_en_all_rows
